series_id,model,mean_smape,std_smape
76,CatBoost (Direct ML),10.807273277197345,3.1756916298527322
76,Stacking Ensemble,21.09190039789574,1.956333368667102
77,AutoTheta (Local Stat),17.72543760177737,0.4760094206325332
77,CatBoost (Direct ML),2.068285177489012,0.466165935992364
77,Stacking Ensemble,9.898344792293686,0.713138160438055
78,AutoTheta (Local Stat),17.948370994267776,1.1411962072134296
78,CatBoost (Direct ML),2.5401193746637607,0.4790813067466491
78,Stacking Ensemble,9.227629068484536,1.0762243060467078
79,AutoTheta (Local Stat),17.857752096993206,0.9595032884277749
79,CatBoost (Direct ML),3.1541454592320863,1.0430642019923329
79,Stacking Ensemble,8.335124993988744,1.0750635394641255
80,AutoTheta (Local Stat),18.84737001528745,1.596205946450465
80,CatBoost (Direct ML),4.999605358848021,2.1772742051504923
80,Stacking Ensemble,8.88517323970355,2.5993770569418175
81,AutoTheta (Local Stat),17.445413704585167,2.7443746122096186
81,CatBoost (Direct ML),4.1782375983116475,0.26691000398157133
81,Stacking Ensemble,9.53467083371661,2.6010912995482354
82,AutoTheta (Local Stat),43.81868954084698,7.43917473651032
82,CatBoost (Direct ML),35.02355812599641,2.2788704718725694
82,Stacking Ensemble,38.626900049772566,3.64656227344357
83,AutoTheta (Local Stat),16.644675228824738,1.771945357978305
83,CatBoost (Direct ML),3.8290961429154273,0.7846327280529373
83,Stacking Ensemble,9.774567929096515,0.957715360355659
84,AutoTheta (Local Stat),22.585503080836954,6.437763207790142
84,CatBoost (Direct ML),10.017747153395248,3.642503758619031
84,Stacking Ensemble,13.62775668162405,5.707957402033341
85,AutoTheta (Local Stat),23.106921740729586,1.5441663791936815
85,CatBoost (Direct ML),9.478243147070911,1.2104291032187866
85,Stacking Ensemble,14.739898651405563,1.329567046404598
86,AutoTheta (Local Stat),15.083328487511345,4.7474301613095395
86,CatBoost (Direct ML),12.400922943615972,1.5104546381118134
86,Stacking Ensemble,12.962282209351534,2.417813433429878
87,AutoTheta (Local Stat),12.665488710027555,0.34728641863786364
87,CatBoost (Direct ML),2.264060571940464,0.9933885032174237
87,Stacking Ensemble,6.649437757239809,0.1223665324862136
88,AutoTheta (Local Stat),16.174199154547463,7.794566243408171
88,CatBoost (Direct ML),14.03639530244561,5.302465009289483
